epoch,accuracy,loss,val_accuracy,val_loss
0,0.7300000190734863,0.7775685787200928,0.8224999904632568,0.3983114957809448
1,0.8339999914169312,0.4228473901748657,0.8999999761581421,0.2614213526248932
2,0.8690000176429749,0.31404635310173035,0.8662499785423279,0.3398820459842682
3,0.8960000276565552,0.2634945511817932,0.8287500143051147,0.5157358646392822
4,0.9110000133514404,0.23196443915367126,0.8575000166893005,0.4290250837802887
5,0.9309999942779541,0.1690484881401062,0.893750011920929,0.33618950843811035
6,0.9290000200271606,0.18388287723064423,0.9049999713897705,0.2933681011199951
7,0.9430000185966492,0.1231030821800232,0.8387500047683716,0.5327103137969971
8,0.9509999752044678,0.14903950691223145,0.8974999785423279,0.3404560983181
9,0.9629999995231628,0.09538516402244568,0.8887500166893005,0.40131524205207825
